row_index,inquiry,segment,city,language_name,text,reference_audio,synth_audio,ground_truth_copy,transcription,model_config,model_checkpoint,model_info
0,NURC_RE_DID_001,NURC_RE_DID_001_Inf-ue_937_2148.897_2155.569.wav,recife,recife,mas normalmente eu acho muito perigoso principalmente numa avenida que tem muito movimento,/workspace/data/data/inference_data/NURC_RE_DID_001_Inf-ue_937_2148.897_2155.569.wav,/workspace/data/data/inference_results/NURC_RE_DID_001_Inf-ue_937_2148.897_2155.569-syntacc-tornado-750Ksteps.wav,/workspace/data/data/inference_results/NURC_RE_DID_001_Inf-ue_937_2148.897_2155.569-gt.wav,/workspace/data/data/inference_results/NURC_RE_DID_001_Inf-ue_937_2148.897_2155.569-gt.txt,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/config.json,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/checkpoint_750000.pth,syntacc-tornado-750Ksteps.wav
1,NURC_RE_DID_001,NURC_RE_DID_001_Inf-ue_151_102.667_108.248.wav,recife,recife,e posteriormente fui conduzido para a escola academia militar de agulhas negras,/workspace/data/data/inference_data/NURC_RE_DID_001_Inf-ue_151_102.667_108.248.wav,/workspace/data/data/inference_results/NURC_RE_DID_001_Inf-ue_151_102.667_108.248-syntacc-tornado-750Ksteps.wav,/workspace/data/data/inference_results/NURC_RE_DID_001_Inf-ue_151_102.667_108.248-gt.wav,/workspace/data/data/inference_results/NURC_RE_DID_001_Inf-ue_151_102.667_108.248-gt.txt,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/config.json,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/checkpoint_750000.pth,syntacc-tornado-750Ksteps.wav
2,NURC_RE_DID_001,NURC_RE_DID_001_Inf-ue_558_1149.132_1154.554.wav,recife,recife,em primeiro lugar eu faria uma viagem à europa isso por uma razão muito simples,/workspace/data/data/inference_data/NURC_RE_DID_001_Inf-ue_558_1149.132_1154.554.wav,/workspace/data/data/inference_results/NURC_RE_DID_001_Inf-ue_558_1149.132_1154.554-syntacc-tornado-750Ksteps.wav,/workspace/data/data/inference_results/NURC_RE_DID_001_Inf-ue_558_1149.132_1154.554-gt.wav,/workspace/data/data/inference_results/NURC_RE_DID_001_Inf-ue_558_1149.132_1154.554-gt.txt,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/config.json,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/checkpoint_750000.pth,syntacc-tornado-750Ksteps.wav
3,NURC_RE_DID_001,NURC_RE_DID_001_Inf-ue_420_832.051_836.831.wav,recife,recife,mas nem todo conforto advém do progresso pelo menos é essa minha opinião,/workspace/data/data/inference_data/NURC_RE_DID_001_Inf-ue_420_832.051_836.831.wav,/workspace/data/data/inference_results/NURC_RE_DID_001_Inf-ue_420_832.051_836.831-syntacc-tornado-750Ksteps.wav,/workspace/data/data/inference_results/NURC_RE_DID_001_Inf-ue_420_832.051_836.831-gt.wav,/workspace/data/data/inference_results/NURC_RE_DID_001_Inf-ue_420_832.051_836.831-gt.txt,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/config.json,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/checkpoint_750000.pth,syntacc-tornado-750Ksteps.wav
4,NURC_RE_DID_001,NURC_RE_DID_001_Inf-ue_200_243.659_247.495.wav,recife,recife,no lugar de ser um oficial de marinha me tornei um oficial do exército,/workspace/data/data/inference_data/NURC_RE_DID_001_Inf-ue_200_243.659_247.495.wav,/workspace/data/data/inference_results/NURC_RE_DID_001_Inf-ue_200_243.659_247.495-syntacc-tornado-750Ksteps.wav,/workspace/data/data/inference_results/NURC_RE_DID_001_Inf-ue_200_243.659_247.495-gt.wav,/workspace/data/data/inference_results/NURC_RE_DID_001_Inf-ue_200_243.659_247.495-gt.txt,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/config.json,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/checkpoint_750000.pth,syntacc-tornado-750Ksteps.wav
5,NURC_RE_DID_013,NURC_RE_DID_013_Inf-ue_403_270.582_276.543.wav,recife,recife,agora nunca tinha visto as águas subirem tão depressa como eu vi,/workspace/data/data/inference_data/NURC_RE_DID_013_Inf-ue_403_270.582_276.543.wav,/workspace/data/data/inference_results/NURC_RE_DID_013_Inf-ue_403_270.582_276.543-syntacc-tornado-750Ksteps.wav,/workspace/data/data/inference_results/NURC_RE_DID_013_Inf-ue_403_270.582_276.543-gt.wav,/workspace/data/data/inference_results/NURC_RE_DID_013_Inf-ue_403_270.582_276.543-gt.txt,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/config.json,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/checkpoint_750000.pth,syntacc-tornado-750Ksteps.wav
6,NURC_RE_DID_013,NURC_RE_DID_013_Inf-ue_978_2263.632_2269.383.wav,recife,recife,às vezes se deixam muito levar pela fantasia eu mesma às vezes fui muitas vezes levada pela fantasia,/workspace/data/data/inference_data/NURC_RE_DID_013_Inf-ue_978_2263.632_2269.383.wav,/workspace/data/data/inference_results/NURC_RE_DID_013_Inf-ue_978_2263.632_2269.383-syntacc-tornado-750Ksteps.wav,/workspace/data/data/inference_results/NURC_RE_DID_013_Inf-ue_978_2263.632_2269.383-gt.wav,/workspace/data/data/inference_results/NURC_RE_DID_013_Inf-ue_978_2263.632_2269.383-gt.txt,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/config.json,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/checkpoint_750000.pth,syntacc-tornado-750Ksteps.wav
7,NURC_RE_DID_013,NURC_RE_DID_013_Inf-ue_335_58.972_64.457.wav,recife,recife,mas sempre estava em casa e lá eu sofri porque eu tive que sair e a água quase na cintura,/workspace/data/data/inference_data/NURC_RE_DID_013_Inf-ue_335_58.972_64.457.wav,/workspace/data/data/inference_results/NURC_RE_DID_013_Inf-ue_335_58.972_64.457-syntacc-tornado-750Ksteps.wav,/workspace/data/data/inference_results/NURC_RE_DID_013_Inf-ue_335_58.972_64.457-gt.wav,/workspace/data/data/inference_results/NURC_RE_DID_013_Inf-ue_335_58.972_64.457-gt.txt,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/config.json,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/checkpoint_750000.pth,syntacc-tornado-750Ksteps.wav
8,NURC_RE_DID_013,NURC_RE_DID_013_Inf-ue_653_1021.361_1026.36.wav,recife,recife,vou pra casa às vezes vou para o cinema às vezes vou pra casa de uma colega,/workspace/data/data/inference_data/NURC_RE_DID_013_Inf-ue_653_1021.361_1026.36.wav,/workspace/data/data/inference_results/NURC_RE_DID_013_Inf-ue_653_1021.361_1026.36-syntacc-tornado-750Ksteps.wav,/workspace/data/data/inference_results/NURC_RE_DID_013_Inf-ue_653_1021.361_1026.36-gt.wav,/workspace/data/data/inference_results/NURC_RE_DID_013_Inf-ue_653_1021.361_1026.36-gt.txt,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/config.json,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/checkpoint_750000.pth,syntacc-tornado-750Ksteps.wav
9,NURC_RE_DID_013,NURC_RE_DID_013_Inf-ue_676_1093.903_1097.634.wav,recife,recife,eu almoço aqui mesmo na biblioteca trago o almoço de casa,/workspace/data/data/inference_data/NURC_RE_DID_013_Inf-ue_676_1093.903_1097.634.wav,/workspace/data/data/inference_results/NURC_RE_DID_013_Inf-ue_676_1093.903_1097.634-syntacc-tornado-750Ksteps.wav,/workspace/data/data/inference_results/NURC_RE_DID_013_Inf-ue_676_1093.903_1097.634-gt.wav,/workspace/data/data/inference_results/NURC_RE_DID_013_Inf-ue_676_1093.903_1097.634-gt.txt,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/config.json,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/checkpoint_750000.pth,syntacc-tornado-750Ksteps.wav
